Encoded_File,Reference_File,PSNR_Avg,SSIM_Avg,VMAF_Score
crowd_run_1080p50_av1_cpu_crf22.mp4,crowd_run_1080p50.y4m,39.019574,0.954660,99.990027
crowd_run_1080p50_av1_cpu_crf28.mp4,crowd_run_1080p50.y4m,37.334825,0.941858,99.873909
crowd_run_1080p50_av1_cpu_crf34.mp4,crowd_run_1080p50.y4m,35.672096,0.926241,98.666365
crowd_run_1080p50_av1_cpu_crf40.mp4,crowd_run_1080p50.y4m,33.974677,0.905481,94.784673
crowd_run_1080p50_h264_cpu_crf22.mp4,crowd_run_1080p50.y4m,34.852415,0.920679,96.189373
crowd_run_1080p50_h264_cpu_crf28.mp4,crowd_run_1080p50.y4m,31.532577,0.868710,82.905293
crowd_run_1080p50_h264_cpu_crf34.mp4,crowd_run_1080p50.y4m,28.330800,0.787886,59.914834
crowd_run_1080p50_h264_cpu_crf40.mp4,crowd_run_1080p50.y4m,25.558159,0.685781,32.124806
crowd_run_1080p50_h265_cpu_crf22.mp4,crowd_run_1080p50.y4m,35.688190,0.930700,96.939512
crowd_run_1080p50_h265_cpu_crf28.mp4,crowd_run_1080p50.y4m,32.430323,0.883467,85.160295
crowd_run_1080p50_h265_cpu_crf34.mp4,crowd_run_1080p50.y4m,29.122822,0.803757,63.553384
crowd_run_1080p50_h265_cpu_crf40.mp4,crowd_run_1080p50.y4m,26.115242,0.691566,36.157934
crowd_run_1080p50_h265_hw_q60.mp4,crowd_run_1080p50.y4m,35.491524,0.919441,97.680870
crowd_run_1080p50_h265_hw_q66.mp4,crowd_run_1080p50.y4m,37.270378,0.939704,99.865288
crowd_run_1080p50_h265_hw_q72.mp4,crowd_run_1080p50.y4m,38.982286,0.955347,99.987879
crowd_run_1080p50_h265_hw_q78.mp4,crowd_run_1080p50.y4m,40.987527,0.968762,99.990646
old_town_cross_1080p50_av1_cpu_crf22.mp4,old_town_cross_1080p50.y4m,38.289789,0.916866,96.767306
old_town_cross_1080p50_av1_cpu_crf28.mp4,old_town_cross_1080p50.y4m,37.390037,0.901685,95.702637
old_town_cross_1080p50_av1_cpu_crf34.mp4,old_town_cross_1080p50.y4m,37.080818,0.898092,95.369154
old_town_cross_1080p50_av1_cpu_crf40.mp4,old_town_cross_1080p50.y4m,36.846809,0.895256,94.753405
old_town_cross_1080p50_h264_cpu_crf22.mp4,old_town_cross_1080p50.y4m,36.661225,0.892315,93.191058
old_town_cross_1080p50_h264_cpu_crf28.mp4,old_town_cross_1080p50.y4m,35.257485,0.874076,85.356615
old_town_cross_1080p50_h264_cpu_crf34.mp4,old_town_cross_1080p50.y4m,32.979388,0.838762,68.049208
old_town_cross_1080p50_h264_cpu_crf40.mp4,old_town_cross_1080p50.y4m,30.288317,0.779956,40.174885
old_town_cross_1080p50_h265_cpu_crf22.mp4,old_town_cross_1080p50.y4m,37.071951,0.898546,92.693513
old_town_cross_1080p50_h265_cpu_crf28.mp4,old_town_cross_1080p50.y4m,35.636561,0.880178,85.676823
old_town_cross_1080p50_h265_cpu_crf34.mp4,old_town_cross_1080p50.y4m,33.592134,0.849258,71.373955
old_town_cross_1080p50_h265_cpu_crf40.mp4,old_town_cross_1080p50.y4m,31.052960,0.798618,46.247229
old_town_cross_1080p50_h265_hw_q60.mp4,old_town_cross_1080p50.y4m,36.362718,0.888065,89.760411
old_town_cross_1080p50_h265_hw_q66.mp4,old_town_cross_1080p50.y4m,37.358033,0.901798,94.191367
old_town_cross_1080p50_h265_hw_q72.mp4,old_town_cross_1080p50.y4m,38.395016,0.920175,97.277028
old_town_cross_1080p50_h265_hw_q78.mp4,old_town_cross_1080p50.y4m,40.274614,0.944080,98.808860
park_joy_1080p50_av1_cpu_crf22.mp4,park_joy_1080p50.y4m,38.983105,0.962130,99.726980
park_joy_1080p50_av1_cpu_crf28.mp4,park_joy_1080p50.y4m,36.987826,0.948208,99.545609
park_joy_1080p50_av1_cpu_crf34.mp4,park_joy_1080p50.y4m,34.981428,0.929144,99.129961
park_joy_1080p50_av1_cpu_crf40.mp4,park_joy_1080p50.y4m,33.024080,0.904444,96.741841
park_joy_1080p50_h264_cpu_crf22.mp4,park_joy_1080p50.y4m,33.739201,0.919317,97.521040
park_joy_1080p50_h264_cpu_crf28.mp4,park_joy_1080p50.y4m,30.103646,0.858129,84.181046
park_joy_1080p50_h264_cpu_crf34.mp4,park_joy_1080p50.y4m,26.781183,0.765400,61.186311
park_joy_1080p50_h264_cpu_crf40.mp4,park_joy_1080p50.y4m,24.025222,0.641829,32.833154
park_joy_1080p50_h265_cpu_crf22.mp4,park_joy_1080p50.y4m,34.703480,0.932538,98.347372
park_joy_1080p50_h265_cpu_crf28.mp4,park_joy_1080p50.y4m,31.250526,0.878856,87.721519
park_joy_1080p50_h265_cpu_crf34.mp4,park_joy_1080p50.y4m,28.006962,0.794471,67.297199
park_joy_1080p50_h265_cpu_crf40.mp4,park_joy_1080p50.y4m,25.115120,0.678179,40.562522
park_joy_1080p50_h265_hw_q60.mp4,park_joy_1080p50.y4m,34.452129,0.918507,98.522081
park_joy_1080p50_h265_hw_q66.mp4,park_joy_1080p50.y4m,36.514797,0.942166,99.366775
park_joy_1080p50_h265_hw_q72.mp4,park_joy_1080p50.y4m,38.628618,0.959464,99.729004
park_joy_1080p50_h265_hw_q78.mp4,park_joy_1080p50.y4m,40.958848,0.972743,99.853538
crowd_run_1080p50_vp9_cpu_crf22.webm,crowd_run_1080p50.y4m,39.592064,0.959940,99.993567
crowd_run_1080p50_vp9_cpu_crf28.webm,crowd_run_1080p50.y4m,37.787746,0.946660,99.931263
crowd_run_1080p50_vp9_cpu_crf34.webm,crowd_run_1080p50.y4m,36.095818,0.930979,98.663116
crowd_run_1080p50_vp9_cpu_crf40.webm,crowd_run_1080p50.y4m,34.275502,0.908221,94.909322
old_town_cross_1080p50_vp9_cpu_crf22.webm,old_town_cross_1080p50.y4m,39.090437,0.927735,97.529480
old_town_cross_1080p50_vp9_cpu_crf28.webm,old_town_cross_1080p50.y4m,37.588140,0.908062,95.145048
old_town_cross_1080p50_vp9_cpu_crf34.webm,old_town_cross_1080p50.y4m,36.767421,0.894977,92.970504
old_town_cross_1080p50_vp9_cpu_crf40.webm,old_town_cross_1080p50.y4m,36.010584,0.884143,89.587442
park_joy_1080p50_vp9_cpu_crf22.webm,park_joy_1080p50.y4m,39.483568,0.965700,99.772188
park_joy_1080p50_vp9_cpu_crf28.webm,park_joy_1080p50.y4m,37.409329,0.952484,99.547580
park_joy_1080p50_vp9_cpu_crf34.webm,park_joy_1080p50.y4m,35.350130,0.933368,99.049613
park_joy_1080p50_vp9_cpu_crf40.webm,park_joy_1080p50.y4m,33.191916,0.904865,96.220215
